LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:45:06 0                 
Time Ampl
1.00145508e-006 -8.78859e-013
1.00145898e-006 -8.8069e-013
1.00146289e-006 -8.81789e-013
1.0014668e-006 -8.82766e-013
1.0014707e-006 -8.8423e-013
1.00147461e-006 -8.87771e-013
1.00147852e-006 -8.89357e-013
1.00148242e-006 -8.91921e-013
1.00148633e-006 -8.93386e-013
1.00149023e-006 -8.93386e-013
1.00149414e-006 -8.95461e-013
1.00149805e-006 -8.97048e-013
1.00150195e-006 -8.97658e-013
1.00150586e-006 -8.94851e-013
1.00150977e-006 -8.95339e-013
1.00151367e-006 -8.9424e-013
1.00151758e-006 -8.94973e-013
1.00152148e-006 -8.96315e-013
1.00152539e-006 -8.96071e-013
1.0015293e-006 -8.95827e-013
1.0015332e-006 -8.96071e-013
1.00153711e-006 -8.94729e-013
1.00154102e-006 -8.94118e-013
1.00154492e-006 -8.93874e-013
1.00154883e-006 -8.92897e-013
1.00155273e-006 -8.9302e-013
1.00155664e-006 -8.93752e-013
1.00156055e-006 -8.93874e-013
1.00156445e-006 -8.92775e-013
1.00156836e-006 -8.9424e-013
1.00157227e-006 -8.95949e-013
1.00157617e-006 -8.97292e-013
1.00158008e-006 -8.98391e-013
1.00158398e-006 -8.99978e-013
1.00158789e-006 -8.98757e-013
1.0015918e-006 -9.00832e-013
1.0015957e-006 -9.01198e-013
1.00159961e-006 -9.02541e-013
1.00160352e-006 -9.0486e-013
1.00160742e-006 -9.06325e-013
1.00161133e-006 -9.06691e-013
1.00161523e-006 -9.06691e-013
1.00161914e-006 -9.07058e-013
1.00162305e-006 -9.09377e-013
1.00162695e-006 -9.09377e-013
